vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
2,2016-05-01 03:53:57.000000 UTC,2016-05-01 03:56:20.000000 UTC,1,0.84,-74.001556396484375,40.741218566894531,1,N,-73.992431640625,40.748451232910156,1,4.5,0.5,0.5,1.45,0.0,0.3,7.25
1,2016-05-01 03:53:56.000000 UTC,2016-05-01 03:58:31.000000 UTC,1,1.0,-74.0071792602539,40.743968963623047,1,N,-73.9946060180664,40.750473022460938,1,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,2016-05-01 03:53:54.000000 UTC,2016-05-01 03:57:43.000000 UTC,1,0.8,-73.993179321289062,40.741298675537109,1,N,-73.9912338256836,40.749782562255859,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
2,2016-05-01 03:53:52.000000 UTC,2016-05-01 03:59:22.000000 UTC,3,1.61,-73.988517761230469,40.721279144287109,1,N,-73.9819107055664,40.740070343017578,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3
1,2016-05-01 03:53:52.000000 UTC,2016-05-01 03:58:13.000000 UTC,1,0.7,-73.9884262084961,40.73370361328125,1,N,-73.978919982910156,40.736286163330078,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3
2,2016-05-01 03:53:52.000000 UTC,2016-05-01 03:59:15.000000 UTC,1,0.93,-73.991783142089844,40.726089477539062,1,N,-73.980522155761719,40.730270385742188,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
2,2016-05-01 03:53:49.000000 UTC,2016-05-01 03:57:27.000000 UTC,1,0.88,-73.978919982910156,40.762168884277344,1,N,-73.98773193359375,40.7589111328125,1,5.0,0.5,0.5,1.89,0.0,0.3,8.19
2,2016-05-01 03:53:49.000000 UTC,2016-05-01 03:57:39.000000 UTC,1,0.91,-73.972846984863281,40.755550384521484,1,N,-73.984527587890625,40.752590179443359,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
1,2016-05-01 03:53:47.000000 UTC,2016-05-01 03:59:42.000000 UTC,1,1.3,-74.002685546875,40.749790191650391,1,N,-74.010238647460938,40.735267639160156,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35
2,2016-05-01 03:53:42.000000 UTC,2016-05-01 03:57:19.000000 UTC,1,0.97,-73.997184753417969,40.737133026123047,1,N,-73.984169006347656,40.738346099853516,1,5.0,0.5,0.5,1.58,0.0,0.3,7.88
2,2016-05-01 03:53:39.000000 UTC,2016-05-01 03:57:34.000000 UTC,2,1.36,-73.98114013671875,40.737640380859375,1,N,-73.973930358886719,40.751869201660156,1,6.0,0.5,0.5,1.82,0.0,0.3,9.12
2,2016-05-01 03:53:39.000000 UTC,2016-05-01 03:59:36.000000 UTC,5,0.98,-73.972381591796875,40.762508392333984,1,N,-73.981513977050781,40.768417358398438,1,6.0,0.5,0.5,2.19,0.0,0.3,9.49
2,2016-05-01 03:53:39.000000 UTC,2016-05-01 03:57:07.000000 UTC,1,1.07,-74.006523132324219,40.744499206542969,1,N,-73.9919662475586,40.744991302490234,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
1,2016-05-01 03:53:38.000000 UTC,2016-05-01 03:57:54.000000 UTC,1,1.4,-73.971450805664062,40.762771606445312,1,N,-73.977493286132812,40.745460510253906,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35
1,2016-05-01 03:53:38.000000 UTC,2016-05-01 03:57:44.000000 UTC,1,1.1,-73.983695983886719,40.760543823242188,1,N,-73.993492126464844,40.745582580566406,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
1,2016-05-01 03:53:37.000000 UTC,2016-05-01 03:55:42.000000 UTC,2,0.4,-73.980422973632812,40.721851348876953,1,N,-73.977119445800781,40.726333618164062,1,3.5,0.5,0.5,0.95,0.0,0.3,5.75
2,2016-05-01 03:53:35.000000 UTC,2016-05-01 03:59:19.000000 UTC,5,1.63,-73.992904663085938,40.741550445556641,1,N,-73.991325378417969,40.758884429931641,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
1,2016-05-01 03:53:34.000000 UTC,2016-05-01 03:59:14.000000 UTC,1,0.8,-74.007583618164062,40.740924835205078,1,N,-74.003608703613281,40.732227325439453,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2016-05-01 03:53:27.000000 UTC,2016-05-01 03:55:25.000000 UTC,2,0.38,-73.994033813476562,40.740993499755859,1,N,-73.990837097167969,40.745346069335938,1,3.5,0.5,0.5,1.44,0.0,0.3,6.24
1,2016-05-01 03:53:26.000000 UTC,2016-05-01 03:57:03.000000 UTC,1,1.2,-73.987419128417969,40.755096435546875,1,N,-74.0011978149414,40.748218536376953,1,5.5,0.5,0.5,0.5,0.0,0.3,7.3
2,2016-05-01 03:53:26.000000 UTC,2016-05-01 03:56:42.000000 UTC,3,0.56,-73.969436645507812,40.760993957519531,1,N,-73.96929931640625,40.755203247070312,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
1,2016-05-01 03:53:25.000000 UTC,2016-05-01 03:58:29.000000 UTC,1,1.7,-74.005523681640625,40.7203254699707,1,N,-73.992317199707031,40.742515563964844,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3
2,2016-05-01 03:53:25.000000 UTC,2016-05-01 03:57:14.000000 UTC,1,0.52,-74.005142211914062,40.741020202636719,1,N,-74.004508972167969,40.733760833740234,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8
2,2016-05-01 03:53:24.000000 UTC,2016-05-01 03:59:04.000000 UTC,1,1.63,-73.99017333984375,40.737339019775391,1,N,-73.99017333984375,40.737339019775391,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96
2,2016-05-01 03:53:23.000000 UTC,2016-05-01 03:57:03.000000 UTC,1,0.83,-74.001083374023438,40.741870880126953,1,N,-73.991470336914062,40.740795135498047,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
